# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names,density,density_error_max,density_error_min
CVSO 30 b ,Confirmed,6.2,1.7,1.9,5.5,1.4,1.4,1.91,0.21,0.21,0.448413,4e-05,4e-05,0.00838,0.00072,0.00072,,,,61.8,3.7,3.7,2.5e-05,2012.0,2016-06-12,,,,,,,,,,2455543.9402,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,PTFO 8-8695 b,,CVSO 30,81.2833333,1.5733333,16.26,,,,,330.0,0.0,0.0,,,,0.39,0.05,0.05,1.39,,,M3 PMS,0.00265,2.9999999999999997e-05,2.9999999999999997e-05,3740.0,,,,,PTFO 8-8695,0.21242370456551607,0.409641716276297,0.3678548326794512
CoRoT-28 b,Confirmed,0.484,0.087,0.087,0.484,0.087,0.087,0.955,0.066,0.066,5.2085099999999995,0.00037999999999999997,0.00037999999999999997,0.059000000000000004,0.0027,0.0027,0.047,0.038,0.055,,,,,2012.0,2015-08-17,126.0,61.0,140.0,,,,,,,2455755.8466,0.0029,0.0029,,,,,,,0.24,0.09,0.09,,,,56.4,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,CoRoT-28,278.6875,5.5739,13.49,,,,,560.0,70.0,70.0,0.15,0.1,0.1,1.01,0.14,0.14,1.78,0.11,0.11,G8/9IV,12.0,1.5,1.5,5150.0,100.0,100.0,,,,0.13266202968994809,0.029828214035199568,0.029828214035199568
CoRoT-29 b,Confirmed,0.85,0.2,0.2,0.85,0.2,0.2,0.9,0.16,0.16,2.8505700000000003,6e-06,6e-06,0.039,0.002,0.002,0.08199999999999999,0.081,0.081,87.3,2.7,2.7,,2012.0,2015-04-27,87.0,210.0,49.0,,,,,,,2455753.115,0.001,0.001,,,,,,,0.43,0.44,0.44,,,,125.0,17.0,17.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,CoRoT-29,278.9042,6.4797,15.35,,,,,765.0,50.0,50.0,0.2,0.1,0.1,0.976,0.14,0.14,0.9,0.12,0.12,KOV,4.5,3.5,3.5,5260.0,100.0,100.0,,,,0.2783574107574301,0.15855245066989154,0.15855245066989154
CoRoT-31 b,Confirmed,0.84,0.34,0.34,,,,1.46,0.3,0.3,4.62941,0.00075,0.00075,0.0586,0.0034,0.0034,0.02,0.02,0.16,83.2,2.3,2.3,,2017.0,2017-12-08,303.6,108.0,108.0,,,,,,,2455843.9445,0.0044,0.0044,,,,,,,0.87,0.27,0.27,,,,88.0,35.0,35.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,CoRoT-31,94.82083333899999,-4.422222235,15.7,,,,,2190.0,710.0,710.0,0.0,0.1,0.1,1.25,0.22,0.22,2.15,0.6,0.56,G2IV,4.7,2.2,4.7,5370.0,126.0,99.0,,,,0.0644365247199313,0.045362409403871866,0.045362409403871866
CoRoT-32 b,Confirmed,0.15,0.1,0.1,,,,0.57,0.06,0.06,6.718369999999999,1e-05,1e-05,0.071,0.001,0.001,,,,89.0,0.5,0.5,,2017.0,2017-09-13,,,,,,,,,,2455901.8109999998,0.002,0.002,,,,,,,,,,,,,,,,938.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,CoRoT-32,100.195833349,9.257500011,14.0,,,,,,,,0.0,0.2,0.2,1.09,0.08,0.08,0.79,0.09,0.09,G0VI,,,,5970.0,100.0,100.0,,,CoRoT-223977153,0.19336509584960804,0.06405114577273562,0.06405114577273562
EPIC 211391664 b,Confirmed,0.10099999999999999,0.025,0.025,,,,0.38,0.018000000000000002,0.027000000000000003,10.13675,0.00033,0.00033,0.0943,0.0052,0.0061,,,,89.0,0.7,0.5,,2016.0,2016-08-04,,,,,,,,,,2457145.9807,0.0012,0.0012,,,,,,,0.27,0.14,0.17,,,,9.1,2.3,2.3,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS 08255719+1130402 b, UCAC 508-047859 b",,EPIC 211391664,126.488287519,11.511144463399999,12.165999999999999,,,,,435.0,15.0,30.0,-0.2,0.1,0.1,1.074,0.042,0.042,1.311,0.048,0.083,F8V,5.2,1.0,1.2,6120.0,80.0,80.0,,,"2MASS 08255719+1130402, K2-98",0.43942218031823416,0.09430832120303392,0.06340316311052174
EPIC 211418729 b,Confirmed,1.85,0.23,0.22,,,,0.9420000000000001,0.032,0.02,11.39109,0.00018,0.00016999999999999999,0.09308999999999999,0.00066,0.00059,0.0,,,89.53,0.3,0.25,,2017.0,2018-05-04,,,,,,,,,,2457174.4972900003,0.00033,0.00033,,,,,,,0.2,0.1,0.12,,,,189.0,21.0,22.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,K2-114 b,,EPIC 211418729,127.882962511,11.9222639117,,,,,12.3,481.0,20.0,15.0,0.41,0.037000000000000005,0.035,0.8320000000000001,0.021,0.018000000000000002,0.828,0.026000000000000002,0.022000000000000002,,9.9,2.3,3.2,5027.0,62.0,57.0,,,,0.5283605830101015,0.12101298364581778,0.13291794121559922
EPIC 211442297 b,Confirmed,0.84,0.18,0.2,,,,1.115,0.057,0.061,20.273034,3.6e-05,3.7e-05,0.1367,0.0012,0.001,0.13699999999999998,0.07200000000000001,0.07400000000000001,88.82,0.15,0.15,,2017.0,2018-05-04,104.0,41.0,52.0,,,,,,,2457157.1570099997,0.00025,0.00025,,,,,,,0.7020000000000001,0.047,0.053,,,,77.0,17.0,16.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,K2_215 b,,EPIC 211442297,126.55344583799999,12.281936128699998,,,,,11.72,417.0,26.0,25.0,-0.22,0.035,0.036000000000000004,0.831,0.023,0.019,0.8809999999999999,0.049,0.05,,10.7,1.7,4.2,5560.0,56.0,58.0,,,,0.1446658671493941,0.0374282778018982,0.03420981636503137
EPIC 216468514 b,Confirmed,0.84,0.08,0.08,,,,1.44,0.15,0.15,3.3139199999999995,2e-05,2e-05,0.048,0.005,0.005,,,,81.9,0.7,0.7,,2016.0,2017-02-21,,,,,,,,,,2457304.5244,0.0002,0.0002,,,,,,,0.81,0.08,0.08,,,,95.5,1.3,1.3,1780.0,90.0,90.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,K2-107 b,,EPIC 216468514,284.985375019,-22.2934027915,,,,,11.21,,,,0.1,0.1,0.1,1.3,0.14,0.14,1.78,0.16,0.16,F9IV,4.25,1.75,1.75,6030.0,120.0,120.0,,,"2MASS 18595649-221736, EPIC 216468514",0.06715884220939836,0.021663932098783513,0.021663932098783513
EPIC 220501947 b,Confirmed,0.336,0.012,0.012,,,,0.9470000000000001,0.005,0.012,4.024866,1.4000000000000001e-05,1.4000000000000001e-05,0.0467,0.0017,0.0007,,,,89.24,0.65,0.52,,2018.0,2018-07-21,,,,,,,,,,2457395.4140457995,1.9e-06,1.9e-06,,,,,,,0.18,0.13,0.13,,,,53.9,2.0,2.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,EPIC 220501947,19.6099000088,6.816872238719999,13.95,,,,,234.0,2.0,2.0,0.14,0.12,0.12,,,,0.71,0.04,0.04,K5 V,,,,4444.0,70.0,70.0,,,2MASS 01182635+0649004,0.09444973224432773,0.0037651266769706433,0.0018768888213306686
EPIC 220504338,Confirmed,1.28,0.12,0.12,,,,0.91,0.07,0.1,5.817712,4e-05,4e-05,0.0575,0.0057,0.0074,0.0,,,86.44,0.042,0.54,,2016.0,2016-11-24,,,,,,,,,,2457392.88588,0.00032,0.00032,,,,,,,,,,,,,143.56,12.9,12.3,1000.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,EPIC 220504338,19.450000016,6.702222237999999,13.68,,,,,553.4,43.0,59.0,0.18,0.062,0.062,1.0070000000000001,0.039,0.049,1.047,0.08,0.11,G,5.9,3.4,2.7,5627.0,88.0,88.0,,,,0.4055059055303867,0.14226412076940395,0.10547397858269819
EPIC 246911830 b,Confirmed,1.42,0.32,0.31,,,,1.5519999999999998,0.057,0.048,2.626657,1.8000000000000001e-06,1.8000000000000001e-06,0.0404,0.0016,0.0013,0.0,,,88.67,1.0,0.89,,2018.0,2018-08-16,90.0,,,2457820.7381349998,9e-05,9e-05,,,,2457820.7381349998,9e-05,9e-05,,,,,,,0.122,0.08199999999999999,0.09,,,,178.0,39.0,38.0,1957.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,K2-260 b,,K2-260,76.86733334270001,16.8677166848,12.69,,,,,676.0,19.0,19.0,-0.14,0.15,0.15,1.39,0.06,0.06,1.69,0.03,0.03,F6V,1.9,0.3,0.3,6367.0,250.0,250.0,,,K2-260,0.0906827296334699,0.029343784978382446,0.0306904070860612
HAT-P-47 b,Confirmed,0.20600000000000002,0.039,0.039,,,,1.3130000000000002,0.045,0.045,4.732182,1.3000000000000001e-05,1.3000000000000001e-05,0.0615,0.0006,0.0006,0.0,,,84.8,0.2,0.2,,2016.0,2017-06-25,,,,,,,,,,2455661.63669,0.00041,0.00041,,,,,,,0.794,0.011000000000000001,0.011000000000000001,,,,19.9,3.8,3.8,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HAT-P-47,38.308333338000004,30.360555571,10.6,,,,,268.0,7.0,7.0,0.0,0.08,0.08,1.3869999999999998,0.038,0.038,1.515,0.04,0.04,,1.5,0.3,0.3,6703.0,50.0,50.0,,,,0.021726233002059333,0.002389148384837109,0.002389148384837109
HAT-P-48 b,Confirmed,0.168,0.024,0.024,,,,1.131,0.054000000000000006,0.054000000000000006,4.40865,8e-06,8e-06,0.0543,0.0007,0.0007,0.0,,,86.8,0.3,0.5,,2016.0,2017-06-25,,,,,,,,,,2455839.21023,0.00029,0.00029,,,,,,,0.281,0.057,0.04,,,,19.6,2.8,2.8,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HAT-P-48,44.470833351,30.625833353,12.16,,,,,305.0,12.0,12.0,0.02,0.08,0.08,1.099,0.040999999999999995,0.040999999999999995,1.2229999999999999,0.046,0.046,,4.7,0.8,1.3,5946.0,50.0,50.0,,,,0.027722529714513222,0.004026221260292157,0.004026221260292157
HAT-P-50 b,Confirmed,1.36,0.075,0.075,1.35,0.073,0.073,1.288,0.064,0.064,3.1220109000000003,6.5000000000000004e-06,6.5000000000000004e-06,0.0453,0.0014,0.00058,0.115,0.115,0.0,83.65,0.57,0.57,,2015.0,2015-07-27,,,,,,,,,,2456285.90993,0.00036,0.00036,2456287.47093,0.00036,0.00036,,,,0.629,0.032,0.040999999999999995,,,,161.3,5.6,5.6,1862.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HAT-P-50,118.062500005,28.139444452,11.76,,,,,597.0,21.0,21.0,-0.18,0.08,0.08,1.273,0.049,0.115,1.6980000000000002,0.071,0.071,,3.37,1.44,0.27,6280.0,49.0,49.0,,,"2MASS 07521521+1208218, GSC 0787-00340",0.15195070170970287,0.02535636326721094,0.02535636326721094
HAT-P-51 b,Confirmed,0.309,0.018000000000000002,0.018000000000000002,0.309,0.018000000000000002,0.018000000000000002,1.2930000000000001,0.054000000000000006,0.054000000000000006,4.2180278,5.9e-06,5.9e-06,0.05069,0.00049,0.00049,0.12300000000000001,0.12300000000000001,0.0,88.48,0.57,0.57,,2015.0,2015-08-17,,,,,,,,,,2456194.1220400003,0.0004,0.0004,2456196.2310599997,0.0004,0.0004,,,,0.27699999999999997,0.085,0.11900000000000001,,,,39.5,2.2,2.2,1192.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HAT-P-51,21.066666672,32.810833358000004,13.44,,,,,470.0,16.0,16.0,0.27,0.08,0.08,0.976,0.027999999999999997,0.027999999999999997,1.041,0.038,0.028999999999999998,,8.2,1.7,1.7,5449.0,50.0,50.0,,,"2MASS 01241564+3248387, GSC 2296-00637",0.034125128505514725,0.004319436573182341,0.004319436573182341
HAT-P-52 b,Confirmed,0.8190000000000001,0.03,0.03,0.818,0.028999999999999998,0.028999999999999998,1.0090000000000001,0.07200000000000001,0.07200000000000001,2.7535952999999997,9.4e-06,9.4e-06,0.03694,0.00037999999999999997,0.00037999999999999997,0.047,0.047,0.0,87.02,0.86,0.86,,2015.0,2015-08-17,,,,,,,,,,2455852.10329,0.00041,0.00041,2455853.4300599997,0.00041,0.00041,,,,0.461,0.122,0.094,,,,128.4,3.8,3.8,1218.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HAT-P-52,42.720833350999996,29.022500005,14.07,,,,,385.0,21.0,21.0,0.28,0.08,0.08,0.887,0.027000000000000003,0.027000000000000003,0.893,0.047,0.047,,9.4,4.1,4.1,5131.0,50.0,50.0,,,"2MASS 02505320+2901206, GSC 1793-01136",0.1903363749698718,0.04114410108313348,0.04114410108313348
HAT-P-53 b,Confirmed,1.4869999999999999,0.057999999999999996,0.059000000000000004,1.484,0.055999999999999994,0.055999999999999994,1.318,0.091,0.091,1.9616241,3.9e-06,3.9e-06,0.03159,0.0005200000000000001,0.0005200000000000001,0.134,0.134,0.0,86.2,1.5,1.5,,2015.0,2015-08-17,,,,,,,,,,2455829.44781,0.00044,0.00044,2455830.42863,0.00044,0.00044,,,,0.38,0.15,0.11,,,,226.8,6.0,6.0,1778.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HAT-P-53,21.870833343,38.968055576,13.73,,,,,719.0,43.0,43.0,0.0,0.08,0.08,1.093,0.043,0.043,1.209,0.081,0.062,,4.67,1.45,0.83,5956.0,50.0,50.0,,,"2MASS 01272906+3858053, GSC 2813-01266",0.15505155583711777,0.03339361054954431,0.033351468187973944
HAT-P-55 b,Confirmed,0.5820000000000001,0.055999999999999994,0.055999999999999994,0.5820000000000001,0.055999999999999994,0.055999999999999994,1.182,0.055,0.055,3.5852467000000003,6.4e-06,6.4e-06,0.04604,0.00056,0.00056,0.139,0.139,0.0,87.7,0.56,0.56,,2015.0,2015-08-17,,,,,,,,,,2456730.83468,0.00027,0.00027,,,,,,,0.153,0.06,0.062,,,,76.7,7.1,7.1,1313.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HAT-P-55,264.273000002,25.7311944704,13.207,,,,,480.0,19.0,19.0,-0.03,0.08,0.08,1.013,0.037000000000000005,0.037000000000000005,1.011,0.036000000000000004,0.036000000000000004,,4.2,1.7,1.7,5808.0,50.0,50.0,,,,0.08413601642846516,0.012654699993353172,0.012654699993353172
HAT-P-56 b,Confirmed,2.2,0.25,0.25,2.18,0.25,0.25,1.466,0.04,0.04,2.7908327,4.7e-06,4.7e-06,0.0423,0.00039,0.00039,0.24600000000000002,0.24600000000000002,0.0,82.13,0.18,0.18,,2015.0,2016-05-09,,,,,,,,,,2456553.61645,0.00042,0.00042,,,,8.0,2.0,2.0,0.7613,0.0104,0.0077,,,,262.0,30.0,30.0,1840.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HAT-P-56,101.350000008,27.252222229,10.91,,,,,310.5,7.1,7.1,-0.077,0.08,0.08,1.296,0.036000000000000004,0.036000000000000004,1.4280000000000002,0.03,0.03,F,2.01,0.35,0.35,6566.0,50.0,50.0,,,,0.16669867989044,0.0438516726935872,0.0438516726935872
HAT-P-57 b,Confirmed,1.85,1.85,0.0,1.85,1.85,0.0,1.413,0.054000000000000006,0.054000000000000006,2.4652950000000002,3.2e-06,3.2e-06,0.0406,0.0011,0.0011,0.0,,,88.26,0.85,0.85,,2015.0,2015-11-04,,,,,,,,,,2455113.48127,0.00047999999999999996,0.00047999999999999996,,,,,,,0.031,0.023,0.04,,,,215.2,215.2,0.0,2200.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HAT-P-57,282.241666686,10.597222245,10.47,,,,,303.0,13.0,13.0,-0.25,0.25,0.25,1.47,0.12,0.12,1.5,0.05,0.05,,1.0,0.51,0.67,7500.0,250.0,250.0,,,2MASS 18185842+103,0.15655128385484487,0.0179485548368612,0.2901755032594862
HAT-P-65 b,Confirmed,0.527,0.083,0.083,,,,1.89,0.13,0.13,2.6054552,3.1e-06,3.1e-06,0.03951,0.00054,0.00054,0.3,0.3,0.0,84.2,1.3,1.3,,2016.0,2016-09-12,,,,,,,,,,2456409.33263,0.00045999999999999996,0.00045999999999999996,,,,,,,0.46399999999999997,0.094,0.07,,,,68.4,11.0,11.0,1930.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HAT-P-65,315.904166679,11.989444469,13.15,,,,,841.0,45.0,45.0,0.1,0.08,0.08,1.212,0.05,0.05,1.86,0.01,0.01,,5.46,0.6,0.6,5835.0,51.0,51.0,,,,0.018635308786265705,0.004144795778384967,0.004144795778384967
HAT-P-66 b,Confirmed,0.7829999999999999,0.057,0.057,,,,1.59,0.1,0.16,2.972086,5.7000000000000005e-06,5.7000000000000005e-06,0.04363,0.00064,0.00121,0.0,,,86.2,1.8,1.8,,2016.0,2018-04-12,,,,,,,,,,2457258.79907,0.00072,0.00072,,,,,,,0.11,0.081,0.106,,,,93.5,5.7,5.7,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HAT-P-66,150.573000006,53.9508611308,13.0,,,,,927.0,49.0,75.0,0.035,0.08,0.08,1.255,0.0054,0.107,1.881,0.095,0.151,,4.66,0.12,0.52,6002.0,50.0,50.0,,,,0.04650308660503265,0.014286716642726164,0.009165811172358523
HAT-P-67 b,Confirmed,0.34,0.19,0.25,,,,2.085,0.071,0.096,4.81010205,3.3e-07,4.3e-07,0.06505,0.00079,0.0027300000000000002,0.24,0.12,0.12,88.8,1.3,1.3,,2017.0,2017-02-07,172.0,43.0,31.0,,,,,,,2455961.38467,0.00064,0.0007599999999999999,,,,,,,0.12,0.08,0.12,,,,52.0,52.0,0.0,1903.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HAT-P-67,256.61250000900003,44.776944468,10.69,,,,,320.0,14.0,48.0,-0.08,0.04,0.04,1.642,0.07200000000000001,0.155,1.546,0.013999999999999999,0.084,F,1.24,0.22,0.27,6406.0,61.0,65.0,,,,0.008955134845799781,0.002557780873903753,0.0019318264806236348
HATS-10 b,Confirmed,0.526,0.081,0.081,0.526,0.081,0.081,0.9690000000000001,0.045,0.061,3.312846,5.7999999999999995e-06,5.7999999999999995e-06,0.0449,0.00074,0.00074,0.5,0.5,0.0,87.79,0.72,0.72,,2015.0,2015-08-17,,,,,,,,,,2456457.88193,0.00022,0.00022,,,,,,,,,,,,,67.0,10.0,10.0,1407.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-10,294.308333338,-22.204444451999997,13.1,,,,,496.0,24.0,24.0,0.15,0.1,0.1,1.1,0.054000000000000006,0.054000000000000006,1.105,0.055,0.04,,3.3,1.7,1.7,5880.0,120.0,120.0,,,,0.1380148455348311,0.0283609654488212,0.022241704420617243
HATS-11 b,Confirmed,0.85,0.12,0.12,0.85,0.12,0.12,1.51,0.078,0.078,3.6191612999999996,9.9e-06,9.9e-06,0.04614,0.00093,0.00093,0.34,0.34,0.0,88.31,0.86,0.86,,2016.0,2016-05-01,,,,,,,,,,2456574.9657,0.0013,0.0013,,,,,,,,,,,,,112.0,15.0,15.0,1637.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-11,289.400000012,-22.390000013,14.0,,,,,906.0,41.0,41.0,-0.39,0.06,0.06,1.0,0.06,0.06,1.44,0.06,0.06,G0,7.7,1.6,2.2,6060.0,150.0,150.0,,,,0.05893855371225631,0.01155176650871072,0.01155176650871072
HATS-13 b,Confirmed,0.5429999999999999,0.07200000000000001,0.07200000000000001,0.5429999999999999,0.07200000000000001,0.07200000000000001,1.212,0.035,0.035,3.0440499,2.7000000000000004e-06,2.7000000000000004e-06,0.04057,0.00041,0.00041,0.18,0.18,0.0,88.55,0.43,0.43,,2015.0,2015-07-27,,,,,,,,,,2456340.31705,0.00026000000000000003,0.00026000000000000003,,,,,,,0.249,0.071,0.062,,,,78.0,10.0,10.0,1244.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-13,316.962500017,-26.096666679000002,13.89,,,,,476.0,12.0,12.0,0.05,0.06,0.06,0.9620000000000001,0.028999999999999998,0.028999999999999998,0.887,0.019,0.019,,2.5,1.7,1.7,5523.0,69.0,69.0,,,,0.07281206712597686,0.008202075475165422,0.008202075475165422
